ACTUAL_DTE,ACTUAL_DTE,latbin,lonbin,WEIGHTED_INCIDENT_SCORE,RANK
2003,1,42.255,-71.785,23,0.03907637655417407
2003,1,42.255,-71.78,51,0.08880994671403197
2003,1,42.255,-71.775,2,0.0017761989342806395
2003,1,42.255,-71.77,4,0.0053285968028419185
2003,1,42.26,-71.865,17,0.028419182948490232
2003,1,42.26,-71.855,2,0.0017761989342806395
2003,1,42.26,-71.85000000000001,1,0.0
2003,1,42.26,-71.845,9,0.014209591474245116
2003,1,42.26,-71.83500000000001,7,0.010657193605683839
2003,1,42.26,-71.83,15,0.024866785079928955
2003,1,42.26,-71.825,37,0.06394316163410302
2003,1,42.26,-71.82000000000001,78,0.13676731793960925
2003,1,42.26,-71.815,171,0.3019538188277087
2003,1,42.26,-71.81,110,0.19360568383658971
2003,1,42.26,-71.805,186,0.3285968028419183
2003,1,42.26,-71.8,108,0.19005328596802842
2003,1,42.26,-71.795,20,0.03374777975133215
2003,1,42.26,-71.79,14,0.023090586145648316
2003,1,42.26,-71.785,19,0.03197158081705151
2003,1,42.26,-71.775,1,0.0
2003,1,42.26,-71.77,22,0.03730017761989343
2003,1,42.26,-71.76,15,0.024866785079928955
2003,1,42.26,-71.755,1,0.0
2003,1,42.265,-71.875,8,0.012433392539964477
2003,1,42.265,-71.845,7,0.010657193605683839
2003,1,42.265,-71.83500000000001,7,0.010657193605683839
2003,1,42.265,-71.825,1,0.0
2003,1,42.265,-71.82000000000001,2,0.0017761989342806395
2003,1,42.265,-71.815,60,0.10479573712255773
2003,1,42.265,-71.81,77,0.13499111900532862
2003,1,42.265,-71.805,159,0.28063943161634103
2003,1,42.265,-71.8,95,0.16696269982238013
2003,1,42.265,-71.795,73,0.12788632326820606
2003,1,42.265,-71.79,10,0.015985790408525755
2003,1,42.265,-71.785,29,0.04973357015985791
2003,1,42.265,-71.78,25,0.04262877442273535
2003,1,42.265,-71.775,28,0.04795737122557727
2003,1,42.265,-71.77,8,0.012433392539964477
2003,1,42.265,-71.765,1,0.0
2003,1,42.265,-71.76,16,0.026642984014209593
2003,1,42.27,-71.855,6,0.008880994671403197
2003,1,42.27,-71.85000000000001,1,0.0
2003,1,42.27,-71.83500000000001,21,0.03552397868561279
2003,1,42.27,-71.83,7,0.010657193605683839
2003,1,42.27,-71.825,14,0.023090586145648316
2003,1,42.27,-71.82000000000001,18,0.03019538188277087
2003,1,42.27,-71.815,22,0.03730017761989343
2003,1,42.27,-71.81,32,0.055062166962699825
2003,1,42.27,-71.805,62,0.108348134991119
2003,1,42.27,-71.8,17,0.028419182948490232
2003,1,42.27,-71.795,44,0.0763765541740675
2003,1,42.27,-71.79,49,0.0852575488454707
2003,1,42.27,-71.78,19,0.03197158081705151
2003,1,42.27,-71.775,16,0.026642984014209593
2003,1,42.27,-71.77,8,0.012433392539964477
2003,1,42.27,-71.765,6,0.008880994671403197
2003,1,42.27,-71.76,15,0.024866785079928955
2003,1,42.275,-71.88,10,0.015985790408525755
2003,1,42.275,-71.855,39,0.0674955595026643
2003,1,42.275,-71.85000000000001,21,0.03552397868561279
2003,1,42.275,-71.84,21,0.03552397868561279
2003,1,42.275,-71.83500000000001,9,0.014209591474245116
2003,1,42.275,-71.825,9,0.014209591474245116
2003,1,42.275,-71.815,7,0.010657193605683839
2003,1,42.275,-71.81,19,0.03197158081705151
2003,1,42.275,-71.8,40,0.06927175843694493
2003,1,42.275,-71.795,24,0.04085257548845471
2003,1,42.275,-71.79,26,0.04440497335701599
2003,1,42.275,-71.785,6,0.008880994671403197
2003,1,42.275,-71.78,1,0.0
2003,1,42.275,-71.77,7,0.010657193605683839
2003,1,42.275,-71.765,16,0.026642984014209593
2003,1,42.28,-71.875,16,0.026642984014209593
2003,1,42.28,-71.87,1,0.0
2003,1,42.28,-71.855,13,0.021314387211367674
2003,1,42.28,-71.85000000000001,2,0.0017761989342806395
2003,1,42.28,-71.845,1,0.0
2003,1,42.28,-71.83500000000001,1,0.0
2003,1,42.28,-71.83,7,0.010657193605683839
2003,1,42.28,-71.825,2,0.0017761989342806395
2003,1,42.28,-71.815,12,0.019538188277087035
2003,1,42.28,-71.81,29,0.04973357015985791
2003,1,42.28,-71.805,18,0.03019538188277087
2003,1,42.28,-71.8,7,0.010657193605683839
2003,1,42.28,-71.795,24,0.04085257548845471
2003,1,42.28,-71.79,1,0.0
2003,1,42.28,-71.765,9,0.014209591474245116
2003,1,42.285000000000004,-71.845,3,0.003552397868561279
2003,1,42.285000000000004,-71.815,9,0.014209591474245116
2003,1,42.285000000000004,-71.81,36,0.06216696269982238
2003,1,42.285000000000004,-71.805,21,0.03552397868561279
2003,1,42.285000000000004,-71.795,15,0.024866785079928955
2003,1,42.285000000000004,-71.79,7,0.010657193605683839
2003,1,42.285000000000004,-71.775,8,0.012433392539964477
2003,1,42.285000000000004,-71.765,7,0.010657193605683839
2003,1,42.285000000000004,-71.76,1,0.0
2003,1,42.29,-71.83500000000001,14,0.023090586145648316
2003,1,42.29,-71.82000000000001,14,0.023090586145648316
2003,1,42.29,-71.81,34,0.0586145648312611
2003,1,42.29,-71.805,69,0.12078152753108348
2003,1,42.29,-71.785,1,0.0
2003,1,42.29,-71.78,44,0.0763765541740675
2003,1,42.29,-71.775,18,0.03019538188277087
2003,1,42.29,-71.765,4,0.0053285968028419185
2003,1,42.295,-71.81,7,0.010657193605683839
2003,1,42.295,-71.805,66,0.11545293072824156
2003,1,42.295,-71.8,7,0.010657193605683839
