,Year,latbin,lonbin,WEIGHTED_INCIDENT_SCORE,RANK
56,2003,42.235,-71.845,87,0.02308105206655931
57,2003,42.235,-71.84,49,0.01288244766505636
58,2003,42.235,-71.83500000000001,21,0.0053676865271068165
59,2003,42.235,-71.83,7,0.0016103059581320453
60,2003,42.235,-71.825,35,0.00912506709608159
61,2003,42.235,-71.82000000000001,139,0.037037037037037035
62,2003,42.235,-71.815,261,0.06977992485238863
63,2003,42.235,-71.81,109,0.028985507246376812
64,2003,42.235,-71.805,30,0.007783145464304884
65,2003,42.235,-71.8,324,0.08668813741277509
66,2003,42.235,-71.795,32,0.008319914117015567
67,2003,42.235,-71.79,126,0.0335480407944176
68,2003,42.235,-71.785,68,0.017981749865807837
69,2003,42.235,-71.775,9,0.0021470746108427268
70,2003,42.235,-71.77,83,0.022007514761137947
71,2003,42.235,-71.765,63,0.01663982823403113
72,2003,42.235,-71.76,44,0.011540526033279657
73,2003,42.235,-71.755,121,0.0322061191626409
74,2003,42.235,-71.75,205,0.05475040257648953
75,2003,42.235,-71.745,17,0.0042941492216854536
76,2003,42.235,-71.74,21,0.0053676865271068165
77,2003,42.24,-71.865,355,0.09500805152979065
78,2003,42.24,-71.86,26,0.006709608158883521
79,2003,42.24,-71.855,250,0.06682769726247988
80,2003,42.24,-71.85000000000001,197,0.052603327965646804
81,2003,42.24,-71.845,789,0.21148684916800858
82,2003,42.24,-71.84,248,0.06629092860976919
83,2003,42.24,-71.83500000000001,404,0.10815888352120236
84,2003,42.24,-71.83,601,0.1610305958132045
85,2003,42.24,-71.825,554,0.14841653247450348
86,2003,42.24,-71.82000000000001,561,0.15029522275899088
87,2003,42.24,-71.815,573,0.15351583467525495
88,2003,42.24,-71.81,255,0.06816961889425657
89,2003,42.24,-71.805,317,0.08480944712828771
90,2003,42.24,-71.8,738,0.1977992485238862
91,2003,42.24,-71.795,582,0.15593129361245303
92,2003,42.24,-71.79,97,0.02576489533011272
93,2003,42.24,-71.785,56,0.014761137949543748
94,2003,42.24,-71.78,14,0.0034889962426194313
95,2003,42.24,-71.775,33,0.008588298443370907
96,2003,42.24,-71.77,49,0.01288244766505636
97,2003,42.24,-71.765,116,0.030864197530864196
98,2003,42.24,-71.76,156,0.04159957058507783
99,2003,42.24,-71.755,105,0.027911969940955447
100,2003,42.24,-71.75,27,0.006977992485238862
101,2003,42.24,-71.745,89,0.023617820719269992
102,2003,42.24,-71.74,9,0.0021470746108427268
103,2003,42.245,-71.865,26,0.006709608158883521
104,2003,42.245,-71.86,85,0.02254428341384863
105,2003,42.245,-71.855,55,0.014492753623188406
106,2003,42.245,-71.85000000000001,176,0.04696725711218465
107,2003,42.245,-71.845,138,0.03676865271068169
108,2003,42.245,-71.84,255,0.06816961889425657
109,2003,42.245,-71.83500000000001,900,0.2412775093934514
110,2003,42.245,-71.83,1014,0.27187332259796027
111,2003,42.245,-71.825,1005,0.2694578636607622
112,2003,42.245,-71.82000000000001,1122,0.3008588298443371
113,2003,42.245,-71.815,674,0.1806226516371444
114,2003,42.245,-71.81,251,0.0670960815888352
115,2003,42.245,-71.805,315,0.08427267847557703
116,2003,42.245,-71.8,1024,0.2745571658615137
117,2003,42.245,-71.795,411,0.11003757380568975
118,2003,42.245,-71.79,668,0.17901234567901234
119,2003,42.245,-71.785,140,0.03730542136339238
120,2003,42.245,-71.78,79,0.020933977455716585
121,2003,42.245,-71.775,339,0.09071390230810521
122,2003,42.245,-71.77,119,0.03166935050993022
123,2003,42.245,-71.765,650,0.1741814278046162
124,2003,42.245,-71.76,99,0.026301663982823402
125,2003,42.245,-71.755,19,0.004830917874396135
126,2003,42.245,-71.75,16,0.004025764895330112
127,2003,42.25,-71.87,6,0.0013419216317767041
128,2003,42.25,-71.865,19,0.004830917874396135
129,2003,42.25,-71.86,82,0.021739130434782608
130,2003,42.25,-71.855,31,0.008051529790660227
