Year,P_INCID_NO,ACTUAL_DTE,PRIMARY_STREET_NUM,PRIMARY_STREET_NAME,PRIMARY_CITY,PRIMARY_STATE_CD,PRIMARY_ZIP_CD,PRIMARY_ADDR_NO,LATITUDE,LONGITUDE,IBR_TYPE,IBR_TYPE_DESC
2016,2016000000004,1/1/2016 0:05:00,261,MAIN ST,Worcester,MA,01608,2002000000768,42.266744,-71.800812,13B,Simple Assault
2016,2016000000004,1/1/2016 0:05:00,261,MAIN ST,Worcester,MA,01608,2002000000768,42.266744,-71.800812,90C,Disorderly Conduct
2016,2016000000004,1/1/2016 0:05:00,261,MAIN ST,Worcester,MA,01608,2002000000768,42.266744,-71.800812,90N,Resisting Arrest
2016,2016000000040,1/1/2016 1:56:00,123,SUMMER ST,Worcester,MA,01604,2005000010340,42.2646358,-71.7969132,13A,Aggravated Assault
2016,2016000000044,1/1/2016 2:05:00,234,SOUTHWEST CUTOFF,Worcester,MA,01604,2003000009094,42.228265,-71.757813,13B,Simple Assault
2016,2016000000045,1/1/2016 2:10:00,68,MASON ST,Worcester,MA,01609,2003000006237,42.257187,-71.820628,220,Burglary/Breaking & Entering
2016,2016000000045,1/1/2016 2:10:00,68,MASON ST,Worcester,MA,01609,2003000006237,42.257187,-71.820628,26B,Credit Card/Automatic Teller Fraud
2016,2016000000063,1/1/2016 2:45:00,24,LOUDON ST,Worcester,MA,01610,2001000005777,42.253112,-71.81977,13B,Simple Assault
2016,2016000000065,1/1/2016 2:49:00,98,MAYWOOD ST,Worcester,MA,01603,2003000011802,42.2535,-71.829025,13B,Simple Assault
2016,2016000000077,1/1/2016 3:54:00,245,FAIRMONT AV,Worcester,MA,01604,2003000019977,42.251394,-71.778989,220,Burglary/Breaking & Entering
2016,2016000000077,1/1/2016 3:54:00,245,FAIRMONT AV,Worcester,MA,01604,2003000019977,42.251394,-71.778989,290,Destruction/Damage/Vandalism of Property
2016,2016000000092,1/1/2016 5:27:00,16,LAUREL ST,Worcester,MA,01608,2002000000533,42.270086,-71.795536,290,Destruction/Damage/Vandalism of Property
2016,2016000000099,1/1/2016 6:05:00,17,CLEVELAND AV,Worcester,MA,01603,2004000005184,42.241437,-71.845492,290,Destruction/Damage/Vandalism of Property
2016,2016000000125,1/1/2016 9:06:00,8,COURTLAND ST,Worcester,MA,01602,2003000006837,42.26275,-71.834964,23H,All Other Thefts
2016,2016000000125,1/1/2016 9:06:00,8,COURTLAND ST,Worcester,MA,01602,2003000006837,42.26275,-71.834964,290,Destruction/Damage/Vandalism of Property
2016,2016000000130,1/1/2016 9:28:00,50,ORIOL DR,Worcester,MA,01605,2002000001037,42.295912,-71.767972,90C,Disorderly Conduct
2016,2016000000130,1/1/2016 9:28:00,50,ORIOL DR,Worcester,MA,01605,2002000001037,42.295912,-71.767972,90J,Trespass of Real Property
2016,2016000000135,1/1/2016 9:58:00,30,DIX ST,Worcester,MA,01609,2003000020469,42.26986,-71.80569,23F,Theft from Motor Vehicle
2016,2016000000146,1/1/2016 10:36:00,225,VERNON ST,Worcester,MA,01610,2003000001079,42.2394771,-71.7963738,13B,Simple Assault
2016,2016000000150,1/1/2016 10:46:00,374,LINCOLN ST,Worcester,MA,01605,2001000003013,42.289868,-71.785901,90D,Driving Under the Influence
2016,2016000000150,1/1/2016 10:46:00,374,LINCOLN ST,Worcester,MA,01605,2001000003013,42.289868,-71.785901,90G,Liquor Law Violation
2016,2016000000184,1/1/2016 12:51:00,241,LINCOLN ST,Worcester,MA,01605,2001000006638,42.283599,-71.791969,23C,Shoplifting
2016,2016000000195,1/1/2016 13:28:00,54,WILLIAMSBERG DR,Worcester,MA,01602,2011000001388,42.2575,-71.852681,290,Destruction/Damage/Vandalism of Property
2016,2016000000199,1/1/2016 14:05:00,6,DENNY ST,Worcester,MA,01609,2003000011999,42.270184,-71.805703,23F,Theft from Motor Vehicle
2016,2016000000209,1/1/2016 14:47:00,2,ELIZABETH ST,Worcester,MA,01605,2001000004406,42.272208,-71.790596,240,Motor Vehicle Theft
2016,2016000000225,1/1/2016 15:59:00,2,WILSON ST,Worcester,MA,01604,2003000023213,42.268145,-71.782909,13A,Aggravated Assault
2016,2016000000229,1/1/2016 16:16:00,31,ORNE ST,Worcester,MA,01605,2003000005242,42.280044,-71.790881,13A,Aggravated Assault
2016,2016000000260,1/1/2016 18:04:00,41,OSCEOLA AV,Worcester,MA,01606,2014000001078,42.307788,-71.781253,11A,Forcible Rape
2016,2016000000276,1/1/2016 19:14:00,13,EUCLID AV,Worcester,MA,01610,2003000017315,42.245901,-71.797169,13B,Simple Assault
2016,2016000000286,1/1/2016 19:52:00,25,DIX ST,Worcester,MA,01609,2003000001147,42.269528,-71.805972,23F,Theft from Motor Vehicle
2016,2016000000290,1/1/2016 20:02:00,179,PLEASANT ST,Worcester,MA,01609,2003000001639,42.264201,-71.808484,13B,Simple Assault
2016,2016000000294,1/1/2016 20:19:00,16,GRAMMONT RD,Worcester,MA,01607,2001000007543,42.23865,-71.794155,13A,Aggravated Assault
2016,2016000000295,1/1/2016 20:18:00,61,EAGLE RD,Worcester,MA,01605,2008000002976,42.291856,-71.81796,290,Destruction/Damage/Vandalism of Property
2016,2016000000355,1/2/2016 1:55:00,50,FRANKLIN ST,Worcester,MA,01608,2001000008160,42.261247,-71.801645,90C,Disorderly Conduct
2016,2016000000355,1/2/2016 1:55:00,50,FRANKLIN ST,Worcester,MA,01608,2001000008160,42.261247,-71.801645,90J,Trespass of Real Property
2016,2016000000364,1/2/2016 2:21:00,150,ORIENT ST,Worcester,MA,01604,2004000007548,42.264405,-71.778358,220,Burglary/Breaking & Entering
2016,2016000000366,1/2/2016 2:29:00,16,WINSLOW ST,Worcester,MA,01609,2003000016622,42.262211,-71.815821,290,Destruction/Damage/Vandalism of Property
2016,2016000000373,1/2/2016 3:39:00,19,JUNE ST,Worcester,MA,01602,2003000015442,42.268929,-71.826969,23D,Theft from Building
2016,2016000000388,1/2/2016 7:19:00,366,COBURN AV,Worcester,MA,01604,2003000020623,42.258555,-71.759205,220,Burglary/Breaking & Entering
2016,2016000000412,1/2/2016 9:17:00,19,ALMONT AV,Worcester,MA,01604,2003000023440,42.258041,-71.781851,13B,Simple Assault
2016,2016000000417,1/2/2016 9:37:00,1,CHATHAM ST,Worcester,MA,01609,2001000002915,42.2616326,-71.8032173,240,Motor Vehicle Theft
2016,2016000000427,1/2/2016 10:18:00,1,CHARLTON ST,Worcester,MA,01608,2001000003907,42.25819,-71.807305,35A,Drug/Narcotic Violations
2016,2016000000427,1/2/2016 10:18:00,1,CHARLTON ST,Worcester,MA,01608,2001000003907,42.25819,-71.807305,90J,Trespass of Real Property
2016,2016000000436,1/2/2016 10:28:00,1,MADISON ST,Worcester,MA,01608,2001000001132,42.259583,-71.805164,13A,Aggravated Assault
2016,2016000000461,1/2/2016 11:53:00,32,DUXBURY RD,Worcester,MA,01605,2003000018263,42.284359,-71.788942,13A,Aggravated Assault
2016,2016000000461,1/2/2016 11:53:00,32,DUXBURY RD,Worcester,MA,01605,2003000018263,42.284359,-71.788942,90C,Disorderly Conduct
2016,2016000000461,1/2/2016 11:53:00,32,DUXBURY RD,Worcester,MA,01605,2003000018263,42.284359,-71.788942,90N,Resisting Arrest
2016,2016000000464,1/2/2016 12:04:00,72,FLORENCE ST,Worcester,MA,01610,2003000005221,42.251037,-71.826367,23F,Theft from Motor Vehicle
2016,2016000000469,1/2/2016 12:21:00,23,GOLDTHWAITE RD,Worcester,MA,01605,2003000000604,42.29508,-71.778893,23G,Theft of Motor Vehicle Parts
2016,2016000000470,1/2/2016 12:28:00,7,LIBERTY ST,Worcester,MA,01605,2003000003977,42.271461,-71.793534,13B,Simple Assault
2016,2016000000478,1/2/2016 12:58:00,79,MILLBURY ST,Worcester,MA,01610,2003000006393,42.252747,-71.798787,13C,Assault - Intimidation
2016,2016000000485,1/2/2016 13:34:00,500,GRAFTON ST,Worcester,MA,01604,2001000009305,42.250422,-71.779667,23C,Shoplifting
2016,2016000000488,1/2/2016 14:15:00,12,ROXBURY ST,Worcester,MA,01609,2003000003397,42.268601,-71.812313,23H,All Other Thefts
2016,2016000000505,1/2/2016 16:00:00,47,MURRAY AV,Worcester,MA,01609,2005000009857,42.259202,-71.807445,240,Motor Vehicle Theft
2016,2016000000511,1/2/2016 16:27:00,835,MAIN ST,Worcester,MA,01610,2002000000481,42.254473,-71.813846,23C,Shoplifting
2016,2016000000515,1/2/2016 16:44:00,110,LINCOLN ST,Worcester,MA,01605,2002000000305,42.276336,-71.795797,120,Robbery
2016,2016000000520,1/2/2016 16:55:00,353,GRAFTON ST,Worcester,MA,01604,2001000000682,42.255962,-71.785906,120,Robbery
2016,2016000000534,1/2/2016 17:48:00,43,PROVIDENCE ST,Worcester,MA,01604,2003000013593,42.255841,-71.792741,13C,Assault - Intimidation
2016,2016000000535,1/2/2016 17:51:00,183,PLEASANT ST,Worcester,MA,01609,2003000003174,42.263959,-71.808564,23H,All Other Thefts
2016,2016000000536,1/2/2016 17:55:00,27,CATHARINE ST,Worcester,MA,01605,2003000013219,42.275489,-71.791535,13B,Simple Assault
2016,2016000000541,1/2/2016 18:20:00,198,CHANDLER ST,Worcester,MA,01609,2003000002998,42.260582,-71.817084,13B,Simple Assault
2016,2016000000541,1/2/2016 18:20:00,198,CHANDLER ST,Worcester,MA,01609,2003000002998,42.260582,-71.817084,90C,Disorderly Conduct
2016,2016000000541,1/2/2016 18:20:00,198,CHANDLER ST,Worcester,MA,01609,2003000002998,42.260582,-71.817084,90Z,All Other Offenses
