Year,P_INCID_NO,ACTUAL_DTE,PRIMARY_STREET_NUM,PRIMARY_STREET_NAME,PRIMARY_CITY,PRIMARY_STATE_CD,PRIMARY_ZIP_CD,PRIMARY_ADDR_NO,LATITUDE,LONGITUDE,IBR_TYPE,IBR_TYPE_DESC
2018,2018000000003,1/1/18 12:06 AM,105,ARTHUR ST,Worcester,MA,01604,2003000011547,42.251002,-71.78379,120,Robbery
2018,2018000000007,1/1/18 12:21 AM,65,MERRICK ST,Worcester,MA,01609,2003000013527,42.264427,-71.8129,13B,Simple Assault
2018,2018000000016,1/1/18 12:39 AM,92,BELLEVUE ST,Worcester,MA,01609,2006000001246,42.259382,-71.817241,220,Burglary/Breaking & Entering
2018,2018000000033,1/1/18 1:09 AM,860,MAIN ST,Worcester,MA,01610,2003000003096,42.254012,-71.815574,240,Motor Vehicle Theft
2018,2018000000033,1/1/18 1:09 AM,860,MAIN ST,Worcester,MA,01610,2003000003096,42.254012,-71.815574,90C,Disorderly Conduct
2018,2018000000033,1/1/18 1:09 AM,860,MAIN ST,Worcester,MA,01610,2003000003096,42.254012,-71.815574,90N,Resisting Arrest
2018,2018000000046,1/1/18 1:36 AM,97,WATER ST,Worcester,MA,01604,2003000005553,42.256121,-71.795949,90C,Disorderly Conduct
2018,2018000000053,1/1/18 1:48 AM,95,PRESCOTT ST,Worcester,MA,01605,2003000009188,42.27629,-71.800544,290,Destruction/Damage/Vandalism of Property
2018,2018000000053,1/1/18 1:48 AM,95,PRESCOTT ST,Worcester,MA,01605,2003000009188,42.27629,-71.800544,90C,Disorderly Conduct
2018,2018000000053,1/1/18 1:48 AM,95,PRESCOTT ST,Worcester,MA,01605,2003000009188,42.27629,-71.800544,90N,Resisting Arrest
2018,2018000000054,1/1/18 1:53 AM,409,PARK AV,Worcester,MA,01610,2003000024917,42.257408,-71.822834,120,Robbery
2018,2018000000056,1/1/18 1:53 AM,90,HARDING ST,Worcester,MA,01604,2004000012557,42.258869,-71.795634,13A,Aggravated Assault
2018,2018000000061,1/1/18 2:02 AM,97,WATER ST,Worcester,MA,01604,2003000005553,42.256121,-71.795949,90C,Disorderly Conduct
2018,2018000000067,1/1/18 2:28 AM,14,CARGILL AV,Worcester,MA,01610,2004000008072,42.244108,-71.79747,90C,Disorderly Conduct
2018,2018000000067,1/1/18 2:28 AM,14,CARGILL AV,Worcester,MA,01610,2004000008072,42.244108,-71.79747,90G,Liquor Law Violation
2018,2018000000067,1/1/18 2:28 AM,14,CARGILL AV,Worcester,MA,01610,2004000008072,42.244108,-71.79747,90N,Resisting Arrest
2018,2018000000087,1/1/18 3:40 AM,25,QUEEN ST,Worcester,MA,01609,2004000002384,42.259035,-71.813555,13B,Simple Assault
2018,2018000000106,1/1/18 5:28 AM,241,CONSTITUTION AV,Worcester,MA,01605,2003000003423,42.308344,-71.77328,90G,Liquor Law Violation
2018,2018000000132,1/1/18 8:30 AM,2,COLUMBIA ST,Worcester,MA,01604,2003000009741,42.255466,-71.796452,290,Destruction/Damage/Vandalism of Property
2018,2018000000140,1/1/18 9:15 AM,87,MURRAY AV,Worcester,MA,01609,2003000001663,42.258417,-71.808322,90J,Trespass of Real Property
2018,2018000000150,1/1/18 9:52 AM,123,SUMMER ST,WORCESTER,MA,01604,2005000010606,42.2646358,-71.7969132,13A,Aggravated Assault
2018,2018000000168,1/1/18 11:19 AM,92,JAQUES AV,Worcester,MA,01610,2001000007580,42.259725,-71.816119,26B,Credit Card/Automatic Teller Fraud
2018,2018000000170,1/1/18 11:31 AM,132,COUNTRY CLUB BLVD,Worcester,MA,01605,2003000000507,42.302123,-71.775622,23F,Theft from Motor Vehicle
2018,2018000000206,1/1/18 2:52 PM,127,COUNTRY CLUB BLVD,Worcester,MA,01605,2003000005817,42.30086,-71.777023,23F,Theft from Motor Vehicle
2018,2018000000209,1/1/18 3:14 PM,25,TOBIAS BOLAND WAY,Worcester,MA,01607,2005000007861,42.2333325,-71.7915193,23C,Shoplifting
2018,2018000000221,1/1/18 4:04 PM,18,CAPRERA RD,Worcester,MA,01604,2001000001219,42.272651,-71.776208,13B,Simple Assault
2018,2018000000234,1/1/18 4:54 PM,25,TOBIAS BOLAND WAY,Worcester,MA,01607,2005000007861,42.2333325,-71.7915193,23C,Shoplifting
2018,2018000000251,1/1/18 6:05 PM,2,WASHINGTON SQ,Worcester,MA,01604,2001000001572,42.261991,-71.794807,13B,Simple Assault
2018,2018000000255,1/1/18 6:15 PM,24,CHARLTON ST,Worcester,MA,01608,2001000007356,42.257209,-71.806054,290,Destruction/Damage/Vandalism of Property
2018,2018000000269,1/1/18 7:09 PM,225,FRANKLIN ST,Worcester,MA,01608,2003000021578,42.260477,-71.794849,23G,Theft of Motor Vehicle Parts
2018,2018000000275,1/1/18 7:35 PM,9,N ASHLAND ST,Worcester,MA,01609,2001000004255,42.268092,-71.807096,13A,Aggravated Assault
2018,2018000000275,1/1/18 7:35 PM,9,N ASHLAND ST,Worcester,MA,01609,2001000004255,42.268092,-71.807096,290,Destruction/Damage/Vandalism of Property
2018,2018000000296,1/1/18 10:05 PM,263,GRAFTON ST,Worcester,MA,01604,2003000001495,42.257605,-71.789131,240,Motor Vehicle Theft
2018,2018000000312,1/1/18 11:11 PM,25,TOBIAS BOLAND WAY,Worcester,MA,01607,2005000007861,42.2333325,-71.7915193,23C,Shoplifting
2018,2018000000442,1/2/18 9:18 AM,58,CATHARINE ST,Worcester,MA,01605,2003000023186,42.274309,-71.788188,13B,Simple Assault
2018,2018000000442,1/2/18 9:18 AM,58,CATHARINE ST,Worcester,MA,01605,2003000023186,42.274309,-71.788188,90Z,All Other Offenses
2018,2018000000468,1/2/18 10:37 AM,60,EVERETT GAYLORD BLVD,Worcester,MA,01608,2001000000265,42.270958,-71.795154,23H,All Other Thefts
