Year,P_INCID_NO,ACTUAL_DTE,PRIMARY_STREET_NUM,PRIMARY_STREET_NAME,PRIMARY_CITY,PRIMARY_STATE_CD,PRIMARY_ZIP_CD,PRIMARY_ADDR_NO,LATITUDE,LONGITUDE,IBR_TYPE,IBR_TYPE_DESC
2015,2015000000005,1/1/2015 0:13:00,36,GREAT BROOK VALLEY AV,Worcester,MA,01605,2003000002272,42.303188,-71.765122,290,Destruction/Damage/Vandalism of Property
2015,2015000000005,1/1/2015 0:13:00,36,GREAT BROOK VALLEY AV,Worcester,MA,01605,2003000002272,42.303188,-71.765122,90N,Resisting Arrest
2015,2015000000005,1/1/2015 0:13:00,36,GREAT BROOK VALLEY AV,Worcester,MA,01605,2003000002272,42.303188,-71.765122,13B,Simple Assault
2015,2015000000020,1/1/2015 0:53:00,7,SHERBROOK AV,Worcester,MA,01604,2013000002575,42.269415,-71.75725,220,Burglary/Breaking & Entering
2015,2015000000023,1/1/2015 1:04:00,241,SOUTHBRIDGE ST,Worcester,MA,01608,2001000005297,42.255508,-71.805771,13A,Aggravated Assault
2015,2015000000033,1/1/2015 1:29:00,36,WESTLAND ST,Worcester,MA,01602,2003000009501,42.273295,-71.816319,290,Destruction/Damage/Vandalism of Property
2015,2015000000039,1/1/2015 1:44:00,54,SEVER ST,Worcester,MA,01609,2003000005756,42.268655,-71.81127,220,Burglary/Breaking & Entering
2015,2015000000068,1/1/2015 3:33:00,9,DIXFIELD ST,Worcester,MA,01606,2003000005449,42.331873,-71.795363,290,Destruction/Damage/Vandalism of Property
2015,2015000000068,1/1/2015 3:33:00,9,DIXFIELD ST,Worcester,MA,01606,2003000005449,42.331873,-71.795363,13A,Aggravated Assault
2015,2015000000069,1/1/2015 3:31:00,123,SUMMER ST,Worcester,MA,01604,2005000010340,42.2646358,-71.7969132,120,Robbery
2015,2015000000077,1/1/2015 3:59:00,15,SIGOURNEY ST,Worcester,MA,01605,2003000005876,42.283295,-71.800585,220,Burglary/Breaking & Entering
