Year,P_INCID_NO,ACTUAL_DTE,PRIMARY_STREET_NUM,PRIMARY_STREET_NAME,PRIMARY_CITY,PRIMARY_STATE_CD,PRIMARY_ZIP_CD,PRIMARY_ADDR_NO,LATITUDE,LONGITUDE,IBR_TYPE,IBR_TYPE_DESC
2010,2010000000029,1/1/2010 0:53:00,90,COMMERCIAL ST,Worcester,MA,01608,2002000000802,42.266726,-71.799178,290,Destruction/Damage/Vandalism of Property
2010,2010000000049,1/1/2010 1:37:00,36,HILDA ST,Worcester,MA,01606,2006000002166,42.303901,-71.777954,13A,Aggravated Assault
2010,2010000000053,1/1/2010 1:43:00,68,STAFFORD ST,Worcester,MA,01603,2001000007766,42.240659,-71.843258,13A,Aggravated Assault
2010,2010000000061,1/1/2010 1:59:00,31,MARBLE ST,Worcester,MA,01603,2003000008679,42.24775,-71.826834,90C,Disorderly Conduct
2010,2010000000064,1/1/2010 2:01:00,54,CRYSTAL ST,Worcester,MA,01603,2003000006471,42.245014,-71.822141,13B,Simple Assault
2010,2010000000071,1/1/2010 2:35:00,712,PLEASANT ST,Worcester,MA,01602,2003000008337,42.269835,-71.82566,90D,Driving Under the Influence
2010,2010000000073,1/1/2010 2:36:00,104,HIGHLAND ST,Worcester,MA,01609,2003000002291,42.271316,-71.806507,240,Motor Vehicle Theft
2010,2010000000092,1/1/2010 3:18:00,1,BOARDMAN ST,Worcester,MA,01606,2001000006315,42.29259,-71.805245,13C,Assault - Intimidation
2010,2010000000092,1/1/2010 3:18:00,1,BOARDMAN ST,Worcester,MA,01606,2001000006315,42.29259,-71.805245,90C,Disorderly Conduct
2010,2010000000109,1/1/2010 3:59:00,5,VIEW ST,Worcester,MA,01610,2003000001089,42.24683,-71.795958,23F,Theft from Motor Vehicle
2010,2010000000117,1/1/2010 4:21:00,496,LINCOLN ST,Worcester,MA,01605,2004000008167,42.294592,-71.775105,90C,Disorderly Conduct
2010,2010000000121,1/1/2010 4:46:00,10,JEFFERSON ST,Worcester,MA,01604,2003000001224,42.253478,-71.795641,90C,Disorderly Conduct
2010,2010000000125,1/1/2010 5:45:00,100,MAY ST,Worcester,MA,01602,2003000005149,42.258014,-71.825948,13B,Simple Assault
2010,2010000000125,1/1/2010 5:45:00,100,MAY ST,Worcester,MA,01602,2003000005149,42.258014,-71.825948,90N,Resisting Arrest
2010,2010000000154,1/1/2010 9:13:00,350,GREENWOOD ST,Worcester,MA,01607,2001000004402,42.212222,-71.79612,270,Embezzlement
2010,2010000000164,1/1/2010 10:18:00,5,LOWELL ST,Worcester,MA,01603,2003000001051,42.246952,-71.825958,23H,All Other Thefts
2010,2010000000174,1/1/2010 11:11:00,7,NEPONSET ST,Worcester,MA,01606,2001000008048,42.299748,-71.802286,23C,Shoplifting
2010,2010000000183,1/1/2010 12:07:00,2,WALLER AV,Worcester,MA,01603,2001000004258,42.243651,-71.829747,290,Destruction/Damage/Vandalism of Property
2010,2010000000192,1/1/2010 13:04:00,1,SEWARD ST,Worcester,MA,01604,2001000001662,42.268071,-71.781609,240,Motor Vehicle Theft
2010,2010000000204,1/1/2010 14:10:00,169,VERNON ST,Worcester,MA,01610,2003000003572,42.243185,-71.796813,220,Burglary/Breaking & Entering
2010,2010000000204,1/1/2010 14:10:00,169,VERNON ST,Worcester,MA,01610,2003000003572,42.243185,-71.796813,290,Destruction/Damage/Vandalism of Property
2010,2010000000220,1/1/2010 15:04:00,12,EDGEWORTH ST,Worcester,MA,01605,2003000009532,42.28404,-71.800627,220,Burglary/Breaking & Entering
2010,2010000000221,1/1/2010 15:07:00,96,VERNON ST,Worcester,MA,01610,2001000005596,42.247823,-71.794965,23F,Theft from Motor Vehicle
2010,2010000000243,1/1/2010 17:04:00,15,RUSSELL ST,Worcester,MA,01609,2003000008075,42.262031,-71.814876,13B,Simple Assault
2010,2010000000250,1/1/2010 17:34:00,5,WESBY ST,Worcester,MA,01609,2001000001784,42.26872,-71.805446,23F,Theft from Motor Vehicle
2010,2010000000288,1/1/2010 20:37:00,57,MOUNTAIN ST E,Worcester,MA,01606,2006000000327,42.32242,-71.78954,220,Burglary/Breaking & Entering
2010,2010000000290,1/1/2010 20:48:00,45,CUTLER ST,Worcester,MA,01604,2003000004660,42.254049,-71.786608,290,Destruction/Damage/Vandalism of Property
2010,2010000000293,1/1/2010 21:03:00,63,KING ST,Worcester,MA,01610,2002000001253,42.259737,-71.816453,90C,Disorderly Conduct
2010,2010000000318,1/1/2010 22:51:00,7,VARNEY ST,Worcester,MA,01605,2003000004649,42.296445,-71.780988,290,Destruction/Damage/Vandalism of Property
2010,2010000000363,1/2/2010 2:40:00,141,E CENTRAL ST,WORCESTER,MA,01600,,,,220,Burglary/Breaking & Entering
2010,2010000000363,1/2/2010 2:40:00,141,E CENTRAL ST,WORCESTER,MA,01600,,,,90Z,All Other Offenses
2010,2010000000372,1/2/2010 2:56:00,49,SUFFOLK ST,Worcester,MA,01604,2003000002825,42.258357,-71.786935,13B,Simple Assault
2010,2010000000375,1/2/2010 3:13:00,500,GRAFTON ST,Worcester,MA,01604,2001000009305,42.250422,-71.779667,23C,Shoplifting
2010,2010000000382,1/2/2010 4:02:00,2,WASHINGTON SQ,Worcester,MA,01604,2001000001572,42.261991,-71.794807,13A,Aggravated Assault
2010,2010000000391,1/2/2010 5:30:00,312,BELMONT ST,Worcester,MA,01605,2003000001780,42.273564,-71.765469,23C,Shoplifting
2010,2010000000444,1/2/2010 11:04:00,11,EUCLID AV,Worcester,MA,01610,2003000028344,42.245826,-71.796995,23H,All Other Thefts
2010,2010000000454,1/2/2010 12:08:00,200,FRANKLIN ST,Worcester,MA,01608,2003000005235,42.260078,-71.7957716,220,Burglary/Breaking & Entering
2010,2010000000457,1/2/2010 12:24:00,95,LEEDS ST,Worcester,MA,01606,2001000003200,42.307267,-71.796506,23F,Theft from Motor Vehicle
2010,2010000000477,1/2/2010 13:40:00,101,CANTERBURY ST,Worcester,MA,01603,2001000005278,42.2474042,-71.8165519,240,Motor Vehicle Theft
2010,2010000000481,1/2/2010 13:55:00,95,LEEDS ST,Worcester,MA,01606,2001000003200,42.307267,-71.796506,23F,Theft from Motor Vehicle
2010,2010000000491,1/2/2010 14:23:00,529,LINCOLN ST,WORCESTER,MA,01605,2003000002244,42.294653,-71.77461,23C,Shoplifting
2010,2010000000518,1/2/2010 16:06:00,28,WILLIAMSBERG DR,Worcester,MA,01602,2003000003235,42.256649,-71.85184,23H,All Other Thefts
2010,2010000000531,1/2/2010 16:40:00,157,PROVIDENCE ST,Worcester,MA,01604,2003000014035,42.244769,-71.791374,13A,Aggravated Assault
2010,2010000000535,1/2/2010 16:47:00,17,KANSAS ST,Worcester,MA,01610,2001000006192,42.245522,-71.805474,520,Weapon Law Violation
2010,2010000000535,1/2/2010 16:47:00,17,KANSAS ST,Worcester,MA,01610,2001000006192,42.245522,-71.805474,13A,Aggravated Assault
2010,2010000000551,1/2/2010 17:46:00,32,HAROLD ST,Worcester,MA,01604,2003000011577,42.25654,-71.764783,220,Burglary/Breaking & Entering
2010,2010000000573,1/2/2010 19:26:00,1,TAYLOR ST,Worcester,MA,01610,2001000001538,42.25221,-71.799065,11A,Forcible Rape
2010,2010000000596,1/2/2010 21:10:00,217,BEACON ST,Worcester,MA,01608,2003000005947,42.251183,-71.815309,13A,Aggravated Assault
2010,2010000000597,1/2/2010 21:11:00,68,COUNTRY CLUB BLVD,Worcester,MA,01605,2003000001906,42.298014,-71.775231,13C,Assault - Intimidation
2010,2010000000606,1/2/2010 21:37:00,51,WELLINGTON ST,Worcester,MA,01610,2002000000010,42.259759,-71.808854,13A,Aggravated Assault
2010,2010000000630,1/2/2010 22:51:00,44,OUTLOOK DR,Worcester,MA,01602,2003000001837,42.258276,-71.85171,220,Burglary/Breaking & Entering
2010,2010000000637,1/2/2010 23:21:00,18,CLIFTON ST,Worcester,MA,01610,2003000011342,42.254938,-71.821208,13C,Assault - Intimidation
2010,2010000000671,1/3/2010 1:59:00,124,LOVELL ST,Worcester,MA,01603,2001000003421,42.254535,-71.832404,120,Robbery
2010,2010000000672,1/3/2010 2:02:00,363,PLANTATION ST,Worcester,MA,01605,2003000000513,42.27636,-71.765695,90C,Disorderly Conduct
2010,2010000000672,1/3/2010 2:02:00,363,PLANTATION ST,Worcester,MA,01605,2003000000513,42.27636,-71.765695,90J,Trespass of Real Property
2010,2010000000672,1/3/2010 2:02:00,363,PLANTATION ST,Worcester,MA,01605,2003000000513,42.27636,-71.765695,90N,Resisting Arrest
2010,2010000000681,1/3/2010 2:16:00,24,CLARENDON ST,Worcester,MA,01604,2003000007095,42.259035,-71.779076,26B,Credit Card/Automatic Teller Fraud
2010,2010000000732,1/3/2010 9:18:00,80,INDIAN HILL RD,Worcester,MA,01606,2010000000026,42.277587,-71.803191,23G,Theft of Motor Vehicle Parts
2010,2010000000736,1/3/2010 9:47:00,8,HADWEN RD,Worcester,MA,01602,2003000007647,42.266841,-71.831371,26E,Wire Fraud
2010,2010000000761,1/3/2010 11:24:00,541,LINCOLN ST,Worcester,MA,01605,2003000001132,42.292018,-71.775902,23C,Shoplifting
2010,2010000000778,1/3/2010 12:38:00,66,MAYWOOD ST,Worcester,MA,01603,2003000022245,42.252302,-71.826814,23H,All Other Thefts
2010,2010000000783,1/3/2010 13:00:00,41,DAYTON ST,Worcester,MA,01609,2003000003841,42.268839,-71.811237,26B,Credit Card/Automatic Teller Fraud
2010,2010000000784,1/3/2010 13:16:00,6,GOLDTHWAITE RD,Worcester,MA,01605,2003000009774,42.294347,-71.778145,240,Motor Vehicle Theft
2010,2010000000796,1/3/2010 14:30:00,7,STATE ST,Worcester,MA,01609,2001000007645,42.269762,-71.801668,13A,Aggravated Assault
2010,2010000000839,1/3/2010 17:46:00,9,FIFTH AV,Worcester,MA,01607,2003000010324,42.241458,-71.800772,220,Burglary/Breaking & Entering
2010,2010000000854,1/3/2010 19:16:00,30,OBERLIN ST,Worcester,MA,01610,2003000011387,42.254421,-71.82046,220,Burglary/Breaking & Entering
2010,2010000000861,1/3/2010 20:37:00,1,SYCAMORE ST,Worcester,MA,01608,2001000006207,42.258571,-71.806605,90C,Disorderly Conduct
2010,2010000000875,1/3/2010 21:49:00,55,GATES ST,Worcester,MA,01610,2003000015132,42.24807,-71.820388,120,Robbery
2010,2010000000886,1/3/2010 23:15:00,301,SALISBURY ST,Worcester,MA,01609,2003000004910,42.281118,-71.815721,90D,Driving Under the Influence
2010,2010000000889,1/3/2010 23:27:00,51,WILSON ST,Worcester,MA,01604,2003000007430,42.269923,-71.779801,23F,Theft from Motor Vehicle
2010,2010000000890,1/3/2010 23:37:00,101,CANTERBURY ST,Worcester,MA,01603,2001000005278,42.2474042,-71.8165519,13A,Aggravated Assault
2010,2010000000906,1/4/2010 1:37:00,10,FRUIT ST,Worcester,MA,01609,2002000000051,42.264915,-71.810895,13A,Aggravated Assault
2010,2010000000916,1/4/2010 3:14:00,45,HOLLYWOOD ST,Worcester,MA,01610,2004000004241,42.255198,-71.819375,13A,Aggravated Assault
2010,2010000000942,1/3/2010 9:30:00,202,MAY ST,Worcester,MA,01602,2003000005063,42.262136,-71.834742,23F,Theft from Motor Vehicle
2010,2010000000946,1/4/2010 8:22:00,14,LONGMEADOW AV,Worcester,MA,01606,2004000000556,42.306471,-71.786669,23H,All Other Thefts
2010,2010000000949,1/4/2010 8:29:00,409,SHREWSBURY ST,Worcester,MA,01604,2003000016277,42.271514,-71.774245,220,Burglary/Breaking & Entering
2010,2010000000950,1/4/2010 8:30:00,409,SHREWSBURY ST,Worcester,MA,01604,2003000016277,42.271514,-71.774245,220,Burglary/Breaking & Entering
2010,2010000000963,1/2/2010 12:30:00,687,MILLBURY ST,Worcester,MA,01607,2003000000231,42.238376,-71.797994,23F,Theft from Motor Vehicle
2010,2010000000973,1/3/2010 20:00:00,2,CHESTERFIELD RD,Worcester,MA,01602,2003000024771,42.278941,-71.84875,290,Destruction/Damage/Vandalism of Property
2010,2010000000983,1/3/2010 17:00:00,71,SANTORO RD,Worcester,MA,01606,2004000013412,42.330864,-71.782361,23F,Theft from Motor Vehicle
2010,2010000000985,1/4/2010 10:00:00,221,PARK AV,Worcester,MA,01609,2001000008290,42.270981,-71.8151,23F,Theft from Motor Vehicle
