Year,P_INCID_NO,ACTUAL_DTE,PRIMARY_STREET_NUM,PRIMARY_STREET_NAME,PRIMARY_CITY,PRIMARY_STATE_CD,PRIMARY_ZIP_CD,PRIMARY_ADDR_NO,LATITUDE,LONGITUDE,IBR_TYPE,IBR_TYPE_DESC
2019,2010000114453,11/23/2019 2:00:00,447,BURNCOAT ST,Worcester,MA,01606,2010000001737,42.316239,-71.790523,23F,Theft from Motor Vehicle
2019,2018000129694,11/15/2019 23:30:00,,TEMPLE ST / GREEN ST,Worcester,MA,01604,,,,23F,Theft from Motor Vehicle
2019,2019000000024,1/1/2019 0:43:00,96,WATER ST,Worcester,MA,01604,2001000004443,42.256413,-71.796122,13A,Aggravated Assault
2019,2019000000039,1/1/2019 1:49:00,120,LINCOLN ST,Worcester,MA,01605,2010000001814,42.276869,-71.795096,23H,All Other Thefts
2019,2019000000046,1/1/2019 1:54:00,400,PARK AV,Worcester,MA,01610,2010000006917,42.256968,-71.823005,13B,Simple Assault
2019,2019000000046,1/1/2019 1:54:00,400,PARK AV,Worcester,MA,01610,2010000006917,42.256968,-71.823005,90Z,All Other Offenses
2019,2019000000047,1/1/2019 1:56:00,97,WATER ST,Worcester,MA,01604,2001000004443,42.256413,-71.796122,90C,Disorderly Conduct
2019,2019000000069,1/1/2019 3:19:00,56,EDGEWORTH ST,Worcester,MA,01605,2001000005390,42.284227,-71.803333,290,Destruction/Damage/Vandalism of Property
2019,2019000000070,1/1/2019 3:23:00,46,MILL ST,Worcester,MA,01603,2010000001951,42.245157,-71.832602,13B,Simple Assault
2019,2019000000143,1/1/2019 11:08:00,24,CLARKSON ST,Worcester,MA,01604,2001000002590,42.255633,-71.790407,290,Destruction/Damage/Vandalism of Property
2019,2019000000163,1/1/2019 12:04:00,265,GRAFTON ST,Worcester,MA,01604,2010000002500,42.2564,-71.789241,290,Destruction/Damage/Vandalism of Property
2019,2019000000172,1/1/2019 12:25:00,10,MIAMI ST,Worcester,MA,01605,2001000002059,42.301492,-71.770078,290,Destruction/Damage/Vandalism of Property
2019,2019000000182,1/1/2019 13:15:00,170,WASHINGTON ST,Worcester,MA,01610,2001000004181,42.254437,-71.80239,23F,Theft from Motor Vehicle
2019,2019000000190,1/1/2019 13:41:00,50,FOSTER ST,Worcester,MA,01608,2006000002159,42.266283,-71.798724,290,Destruction/Damage/Vandalism of Property
2019,2019000000192,1/1/2019 13:42:00,29,ALMONT AV,Worcester,MA,01604,2001000007043,42.257703,-71.781512,290,Destruction/Damage/Vandalism of Property
2019,2019000000198,1/1/2019 14:03:00,521,GRAFTON ST,Worcester,MA,01604,2010000002924,42.250497,-71.779069,13B,Simple Assault
2019,2019000000200,1/1/2019 14:28:00,541,LINCOLN ST,Worcester,MA,01605,2010000002917,42.294592,-71.775105,13B,Simple Assault
2019,2019000000202,1/1/2019 14:39:00,22,KILBY ST,Worcester,MA,01610,2001000004964,42.251128,-71.81615,23F,Theft from Motor Vehicle
2019,2019000000203,1/1/2019 14:43:00,18,STEELE ST,Worcester,MA,01607,2001000004107,42.229789,-71.800566,240,Motor Vehicle Theft
2019,2019000000222,1/1/2019 15:36:00,165,COUNTRY CLUB BLVD,Worcester,MA,01605,2001000006566,42.295422,-71.778186,13A,Aggravated Assault
